Genes,ACE2,ALKBH8,AMOTL1,ANK2,ARID5A,ASB17,ASH2L,ASZ1,ATRX,BAHD1,BBS1,BRINP3,C15orf56,C2orf91,CAB39,CALCR,CALM1,CBARP,CCDC7,CCHCR1,CCNL2,CCT3,CD40,CDK11B,CDK16,CFAP46,CK1E,COL23A1,COL25A1,COL4A4,CPHXL,CRYZ,CT75,CTNNAL1,CUL4B,DDHD1,DDN,DEPDC1,DIS3L,DNMT3B,ECT2,EFEMP1,EHD2,EXD2,EYA1,FAAH,FADS1,FAM135A,FAM13A,FAM47A,FASLG,FBXL14,FBXO40,FGD1,FKRP,FLNC,GABRA1,GIT1,GPR179,GRM8,H2AZ2,H2BC11,H416,HBB_1,HBB_2,hCG_16515,hCG_1740238,hCG_1777785,hCG_1817226,hCG_1993756,hCG_2011944,hCG_2022394,hCG_2032677,hCG_2032754,hCG_2036659,hCG_2038111,hCG_2045472,HKDC1,HLA-B,HSP90AA5P,HSPA8P20,HTATSF1P2,IDUA,IFT27,IGHV,IGHV459,IL6R,IMPA1,KCNMA1,KCTD3,KMT2A,KRT1,KRT5,LENG9,LHX4,LINC01987,LOC102724788,LOC107985971,LOC107986791,LOC399900,LOC554249,MED12L,MEGF8,MYEF2,MYH2,MYH7,MYO1B,NAB2,NAGPA,NARS1,NBAS,NBEAL1,NCOR2,NFYB,NPSR1AS1,OLFML2B,OR10Z1,PDHA2,PGP,PHF1,PIH1D1,PITRM1,PMFBP1,PNMA6A,POLR3C,PRDX2,PRKCI,PROM2,PSKH2,PTK2B,PYCR1,RBM39,RGS12,RGS9,RIMS1,RNF212B,RPEL1,S100A8,SAC3D1,SCGB1C1,SCMH1,SFTPA2,SLC17A7,SLC22A11,SLC22A23,SLC25A20,SLC25A29,SLC50A1,SLC6A8,SREK1,TAF1,TATDN2,Tcr-alpha,TERF2,TFAP2A,THSD7A,TJP2,TMEM200B,TRRAP,TSPAN19,TTN,TWISTNB,UBAC2,UBTFL1,UNC13A,VARS,WDR34,ZCCHC24,ZFP42,ZNF234,ZNF608
0,0,8.386579,7.287812,7.731897,7.368372,7.284393,0,8.205363,15.73572,10.1789,0,5.571342,0,12.50283,12.52557,10.04946,8.621715,9.039065,15.69519,7.459578,7.876903,0,10.24307,11.32342,11.65485,6.75582,8.54917,10.58452,8.052089,11.93884,0,0,9.490096,0,0,0,0,13.19727,10.37764,10.84332,9.853034,8.646235,7.947564,0,10.92604,11.35828,0,8.405726,13.13554,9.505774,6.394905,7.664695,8.163776,0,10.80201,0,6.536058,5.853665,11.64897,9.36432,9.014173,9.380633,8.612209,0,0,11.88165,8.130809,0,11.22686,7.391351,0,11.48496,8.105717,0,9.654908,13.55758,7.717227,7.941895,12.61872,0,11.58442,9.079919,9.565528,0,0,10.13346,9.316771,0,8.192993,14.76321,8.648066,9.418949,11.63205,11.53203,10.23139,12.06078,11.71957,9.144096,0,7.880199,7.80918,0,0,9.054885,0,13.95509,9.839088,13.14537,8.80456,7.174425,10.84774,0,0,0,6.436083,9.85173,10.59183,13.10978,16.33231,11.78889,9.611725,8.983205,0,12.11613,7.773211,0,10.71819,9.683076,9.861379,7.238554,13.85892,0,10.73028,8.264482,9.038797,0,0,9.052625,0,6.540091,9.353356,6.858624,10.77244,9.328417,13.26217,0,13.46533,14.46762,10.97213,8.434243,9.77455,11.2908,12.06917,9.551891,11.02777,7.648875,7.833292,6.600389,8.895683,13.41168,7.945262,6.943974,8.694908,14.47735,0,6.958369,7.934554,7.27898,15.92713,12.00545,6.813715
0,0,0,0,8.511641,0,0,0,8.778321,15.85638,8.709939,0,7.142605,7.635625,0,12.19176,0,0,8.771855,0,7.240852,0,0,10.79565,11.09246,11.54294,13.25478,8.989859,11.18045,8.397095,0,0,0,9.359552,0,0,0,0,13.2246,0,0,15.75651,9.384573,8.349277,0,10.72338,0,0,0,0,0,6.416874,0,8.127448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.08471,0,0,0,0,6.474263,7.594161,0,0,11.29116,0,9.719868,0,0,0,11.47817,0,0,14.637,0,9.454916,0,0,10.33776,0,10.14622,9.639359,0,0,0,0,9.634863,0,0,0,10.01785,0,0,0,10.58485,0,0,0,7.579131,10.12632,10.30866,12.74592,16.36566,0,0,9.135274,0,0,8.103641,0,11.54775,0,9.794605,0,14.13107,0,11.25234,0,8.458505,0,0,0,0,0,9.970436,7.910395,0,9.044463,13.44887,0,0,0,11.16289,8.79132,9.9509,0,0,9.628828,0,8.034777,7.410855,0,7.790861,0,0,6.122663,0,14.48805,0,0,0,7.631227,16.02296,12.18443,6.558315
0,0,0,0,7.600124,0,0,0,8.217196,15.92986,0,0,5.572131,0,0,12.18567,0,0,0,15.62454,7.167572,0,0,10.52682,11.06863,11.79397,6.112042,8.919734,0,8.019922,0,0,0,9.34621,0,0,0,0,12.58142,0,0,9.768141,8.787765,8.587235,0,8.085054,0,0,0,0,0,5.549012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.82976,7.04583,0,0,11.14874,0,9.697734,0,0,0,8.580737,0,0,14.14814,0,8.872567,0,0,10.04181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.05892,0,0,0,0,0,10.48411,0,16.33771,0,0,0,0,0,8.202419,0,12.55413,0,0,0,0,0,11.74066,0,0,0,0,0,0,0,9.12542,0,0,9.389693,13.52382,0,0,0,10.76971,0,0,0,0,9.956977,0,0,7.638706,0,8.194364,0,0,6.036867,0,0,0,0,0,7.203963,0,12.49294,6.657884
0,0,0,0,7.779532,0,0,0,9.049714,0,0,0,7.016292,0,0,0,0,0,0,0,7.819282,0,0,0,0,0,7.178438,9.043004,0,8.737282,0,0,0,0,0,0,0,0,0,0,0,9.634809,8.234353,9.019266,0,9.511,0,0,0,0,0,0,13.07843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.08649,0,9.975744,0,0,0,0,0,0,15.33225,0,9.963081,0,0,10.71509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.16281,15.01344,16.39407,0,0,0,0,0,0,0,10.10768,0,0,0,14.01003,0,10.20263,0,0,0,0,0,0,0,9.724289,0,0,0,13.40936,0,0,0,0,0,0,0,0,9.821774,0,0,8.699668,0,0,0,0,6.474401,0,0,0,0,0,7.756562,0,0,0
0,0,0,0,8.534909,0,0,0,8.489758,0,0,0,7.110003,0,0,0,0,0,0,0,6.901104,0,0,0,0,0,0,8.878273,0,8.648461,0,0,0,9.813266,0,0,0,0,0,0,0,10.05787,8.656592,8.96906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.02699,0,10.16552,0,0,0,0,0,0,14.97163,0,0,0,0,10.56537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.49344,0,16.31442,0,0,0,0,0,0,0,0,0,0,0,14.08621,0,9.605177,0,0,0,0,0,0,0,9.9707,14.00983,0,0,0,0,0,0,0,0,0,0,0,9.853367,0,13.0914,8.018848,0,0,0,0,7.170546,0,0,0,0,0,7.699783,0,0,0
0,0,0,0,7.707587,0,0,0,8.309871,0,0,0,6.28761,0,0,0,0,0,0,0,7.072088,0,0,0,0,0,0,9.198246,0,9.324618,0,0,0,9.903937,0,0,0,0,0,0,0,10.00304,8.592817,8.891175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.85352,0,10.27701,0,0,0,0,0,0,11.83531,0,0,0,0,11.21409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.84881,14.74291,16.33475,0,0,0,0,0,0,0,0,0,0,0,14.05639,0,10.28874,0,0,0,0,0,0,0,9.75701,0,0,0,13.37042,0,0,0,0,0,0,0,0,9.845584,0,0,8.324997,0,0,0,0,7.302221,0,0,0,0,0,7.749093,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,12.88439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.394433,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.78979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.605543,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.920681,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.5093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.823914,0,0,0,0,0,0,0,0,0,0,0,0,0,0
