,0
HBB_2,0.32251681392884324
SLC22A23,0.22311506659320007
EHD2,0.18191929017263678
CALM1,0.14227551478799982
OR10Z1,0.028920433441461908
TSPAN19,0.014619971213390495
THSD7A,0.012480239951702754
hCG_1817226,0.01013567740699084
MYO1B,0.009147372237105803
ZNF234,0.008214878679263059
ARID5A,0.007480159133086547
DNMT3B,0.006670770714472387
TWISTNB,0.005555533740397226
MED12L,0.005448382402452843
KCTD3,0.005424527191676476
BAHD1,0.005261141922249334
hCG_16515,0.00441587516278477
PYCR1,0.0033203318892711005
TTN,0.0027406318688879255
PIH1D1,0.00027345886410387387
RBM39,3.985924473101454e-05
Tcr-alpha,2.4069453291744438e-05
GABRA1,6.679042719938168e-17
LINC01987,0.0
LENG9,0.0
PHF1,0.0
PGP,0.0
PDHA2,0.0
UNC13A,0.0
OLFML2B,0.0
NPSR1AS1,0.0
NFYB,0.0
VARS,0.0
KRT1,0.0
KRT5,0.0
NCOR2,0.0
NBEAL1,0.0
WDR34,0.0
NBAS,0.0
LOC102724788,0.0
NARS1,0.0
NAGPA,0.0
NAB2,0.0
LHX4,0.0
MYH7,0.0
MYH2,0.0
MYEF2,0.0
MEGF8,0.0
ZFP42,0.0
LOC554249,0.0
LOC399900,0.0
LOC107986791,0.0
LOC107985971,0.0
ZCCHC24,0.0
TMEM200B,0.0
PITRM1,0.0
SLC50A1,0.0
SFTPA2,0.0
SLC17A7,0.0
SLC22A11,0.0
UBAC2,0.0
SLC25A20,0.0
SLC25A29,0.0
SLC6A8,0.0
SCGB1C1,0.0
SREK1,0.0
TAF1,0.0
TATDN2,0.0
TERF2,0.0
TFAP2A,0.0
TJP2,0.0
SCMH1,0.0
SAC3D1,0.0
PMFBP1,0.0
PTK2B,0.0
TRRAP,0.0
POLR3C,0.0
PRDX2,0.0
PRKCI,0.0
PROM2,0.0
PSKH2,0.0
KMT2A,0.0
S100A8,0.0
RGS12,0.0
UBTFL1,0.0
RGS9,0.0
RIMS1,0.0
RNF212B,0.0
RPEL1,0.0
PNMA6A,0.0
ACE2,0.0
KCNMA1,0.0
CT75,0.0
CFAP46,0.0
CK1E,0.0
COL23A1,0.0
COL25A1,0.0
COL4A4,0.0
CPHXL,0.0
CRYZ,0.0
CTNNAL1,0.0
CDK11B,0.0
CUL4B,0.0
DDHD1,0.0
DDN,0.0
DEPDC1,0.0
DIS3L,0.0
ECT2,0.0
EFEMP1,0.0
CDK16,0.0
CD40,0.0
EYA1,0.0
BRINP3,0.0
AMOTL1,0.0
ANK2,0.0
ASB17,0.0
ASH2L,0.0
ASZ1,0.0
ATRX,0.0
BBS1,0.0
C15orf56,0.0
CCT3,0.0
C2orf91,0.0
CAB39,0.0
CALCR,0.0
CBARP,0.0
CCDC7,0.0
CCHCR1,0.0
CCNL2,0.0
EXD2,0.0
FAAH,0.0
IMPA1,0.0
HLA-B,0.0
hCG_2022394,0.0
hCG_2032677,0.0
hCG_2032754,0.0
hCG_2036659,0.0
hCG_2038111,0.0
hCG_2045472,0.0
HKDC1,0.0
HSP90AA5P,0.0
hCG_1993756,0.0
HSPA8P20,0.0
HTATSF1P2,0.0
IDUA,0.0
IFT27,0.0
IGHV,0.0
ALKBH8,0.0
IL6R,0.0
hCG_2011944,0.0
hCG_1777785,0.0
FADS1,0.0
FKRP,0.0
FAM135A,0.0
FAM13A,0.0
FAM47A,0.0
FASLG,0.0
FBXL14,0.0
FBXO40,0.0
FGD1,0.0
FLNC,0.0
hCG_1740238,0.0
GIT1,0.0
GPR179,0.0
GRM8,0.0
H2AZ2,0.0
H2BC11,0.0
H416,0.0
HBB_1,0.0
IGHV459,0.0
