,0
C15orf56,0.10453260948728342
IFT27,0.09465485897520061
COL4A4,0.09446253646590244
SREK1,0.09013482564010288
HSP90AA5P,0.08025275713865036
ZCCHC24,0.07899798351947826
CUL4B,0.07896668148017125
CALM1,0.0750038175542959
MEGF8,0.0726295628480903
DDN,0.07122072776098264
TSPAN19,0.07121346359223753
HBB_2,0.06742585899289363
hCG_1777785,0.06589629632729657
GABRA1,0.06135315780057869
HBB_1,0.0576855588826426
RNF212B,0.05606159134405098
hCG_16515,0.05593787263942522
MYH7,0.05415109518630576
TTN,0.0525910369432257
EHD2,0.04862058020332655
HTATSF1P2,0.047650350971839193
FLNC,0.045350539523228296
EXD2,0.04384133405078346
LOC107986791,0.04342475345012994
CAB39,0.04225694812567612
GRM8,0.0413302274062002
SCMH1,0.041065954248192225
CCDC7,0.04093343607318942
PSKH2,0.04055254404013041
SLC22A23,0.04042081022210407
TERF2,0.03860689909360483
BBS1,0.03784474797453349
hCG_2038111,0.03594827189317813
Tcr-alpha,0.03584326669703807
LOC554249,0.03562691714253479
FGD1,0.03437023453943699
UNC13A,0.033110415744636607
NARS1,0.03127022805415349
SLC25A20,0.031164512872690737
hCG_2022394,0.030893467276877466
FADS1,0.03048251542354502
hCG_2045472,0.0304246824473311
FAM47A,0.030069570430072568
HKDC1,0.029803398021342457
CCHCR1,0.029491687291988408
ALKBH8,0.029345235915117646
SFTPA2,0.0280406287342716
NBEAL1,0.027585953436932382
ASH2L,0.026387715918732173
NAGPA,0.02553677869576776
KCTD3,0.025464333517304892
BAHD1,0.024617293162549295
PRDX2,0.024412243742755767
CTNNAL1,0.024000443941646344
SLC22A11,0.02399607436653316
CRYZ,0.023608138871489562
NPSR1AS1,0.02278475521033895
MED12L,0.022277386875141504
SLC25A29,0.021709760532487517
LOC107985971,0.02164040449100553
ACE2,0.021563179127062185
DDHD1,0.02141507189320277
PMFBP1,0.019893737215832447
TATDN2,0.019283017749735107
CPHXL,0.019245076932813087
ECT2,0.01905731824876204
H416,0.01905531149244294
CDK16,0.01898504927301476
TJP2,0.01823845669236308
NCOR2,0.01774283419406933
hCG_1817226,0.01753512427990869
KRT1,0.017242734873937952
LHX4,0.01623395851475048
IGHV,0.016056620804201078
IMPA1,0.015663209357405658
NFYB,0.01542469107823317
FASLG,0.014270937972024552
RIMS1,0.013302692104751023
CK1E,0.012010913491370715
NBAS,0.011765606506956704
H2AZ2,0.01108151887921022
MYH2,0.01104155847529771
KRT5,0.010994211008673942
HSPA8P20,0.010763010245128827
IDUA,0.010167000827075445
GIT1,0.01005903006099876
ANK2,0.008697562078353203
hCG_2032754,0.008429344677650346
LENG9,0.0079238929218035
ARID5A,0.007442917742154411
RGS9,0.007305676349579987
RPEL1,0.006930393743594946
PITRM1,0.006565054195429399
LOC399900,0.0056975469926946075
RBM39,0.005590810299227713
ASB17,0.004857717046834686
VARS,0.004444625174236845
hCG_2011944,0.004338427971911813
CFAP46,0.004203509054605111
MYO1B,0.0035987228839339178
SAC3D1,0.0033152200926588357
hCG_1740238,0.002542759035897375
TMEM200B,0.002189997571237994
CT75,0.0012814891123002815
ZFP42,0.0007740603874428346
POLR3C,-9.365835419619398e-05
TAF1,-0.0011582635763631006
FBXO40,-0.002904387334878032
TRRAP,-0.0032737751375341334
ASZ1,-0.003531001326577612
DEPDC1,-0.003966769795289942
PTK2B,-0.0039864381586008435
FAM13A,-0.004701552277859785
S100A8,-0.005793537048882142
TWISTNB,-0.005804722737441926
MYEF2,-0.0062367646924638455
EYA1,-0.006465831045547324
PIH1D1,-0.007162817134121322
GPR179,-0.007513631383993063
LINC01987,-0.0076189121322408375
CD40,-0.007697329834416112
ZNF234,-0.007830975049956017
PROM2,-0.0080098329186828
DNMT3B,-0.008151726482388745
FAM135A,-0.00938974930380408
hCG_1993756,-0.010025061030262057
CCT3,-0.010258261047420787
FBXL14,-0.010371705694252298
BRINP3,-0.010444629508133905
FAAH,-0.011102580886674417
CBARP,-0.011560069726676598
SLC50A1,-0.011561431445532705
OLFML2B,-0.011699192819647085
SLC17A7,-0.01208216470022565
ATRX,-0.012973448383096785
hCG_2032677,-0.013172728432202583
SCGB1C1,-0.013675549653117023
COL23A1,-0.014184522724165597
TFAP2A,-0.014195391135055989
EFEMP1,-0.014237608662731454
H2BC11,-0.01564781309929571
PGP,-0.018713890668255125
NAB2,-0.0189142315306816
THSD7A,-0.020467021035226605
IGHV459,-0.021755167007842316
WDR34,-0.022046525420870735
SLC6A8,-0.02301180357348871
COL25A1,-0.023165485438200992
CCNL2,-0.023886728623316617
FKRP,-0.02603648575509
hCG_2036659,-0.026379007701191393
KCNMA1,-0.026423012382177147
PHF1,-0.02749496347366149
C2orf91,-0.028741570666740653
KMT2A,-0.031164409158757886
UBAC2,-0.032383631724778476
AMOTL1,-0.03247765780727493
DIS3L,-0.03729505176999479
RGS12,-0.03788131330774093
CDK11B,-0.038259773454269265
IL6R,-0.039245398590111946
PYCR1,-0.03935667073107587
PNMA6A,-0.03999059803689055
PDHA2,-0.044940042690574174
UBTFL1,-0.04508058727163149
CALCR,-0.04692329461294437
HLA-B,-0.049982142670829635
OR10Z1,-0.050661020214618366
LOC102724788,-0.05766727959506355
PRKCI,-0.05843735084559736
