A1_1 Int (Treated)	A1_2 Int (Treated)	A1_3 Int (Treated)	A2_1 Int (Treated)	A2_2 Int (Treated)	A2_3 Int (Treated)	A6_1 Int (Treated)	A6_2 Int (Treated)	A6_3 Int (Treated)	B1_1 Int (Treated)	B1_2 Int (Treated)	B1_3 Int (Treated)	B10_1 Int (Treated)	B10_2 Int (Treated)	B10_3 Int (Treated)	B2_1 Int (Treated)	B2_2 Int (Treated)	B2_3 Int (Treated)	B3_1 Int (Treated)	B3_2 Int (Treated)	B3_3 Int (Treated)	B5_1 Int (Treated)	B5_2 Int (Treated)	B5_3 Int (Treated)	B6_1 Int (Treated)	B6_2 Int (Treated)	B6_3 Int (Treated)	B8_1 Int (Treated)	B8_2 Int (Treated)	B8_3 Int (Treated)	A3_1 Int (Treated)	A3_2 Int (Treated)	A3_3 Int (Treated)	A4_1 Int (Treated)	A4_2 Int (Treated)	A4_3 Int (Treated)	A5_1 Int (Treated)	A5_2 Int (Treated)	A5_3 Int (Treated)	B4_1 Int (Treated)	B4_2 Int (Treated)	B4_3 Int (Treated)	B7_1 Int (Treated)	B7_2 Int (Treated)	B7_3 Int (Treated)	B9_1 Int (Treated)	B9_2 Int (Treated)	B9_3 Int (Treated)
11.00624	11.15286	11.89776	11.76922	12.4247	12.40131	11.5858	10.89655	13.65741	11.91637	12.18725	12.05232	0	0	0	0	0	0	14.53434	0	0	0	0	0	0	0	14.49896	0	14.6374	0	11.81748	10.97458	12.19312	12.30428	11.94006	11.80905	11.69358	11.40786	11.61397	0	0	0	0	14.39642	0	0	0	0
15.39147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.70942	0	0	15.09553	15.08521	0	0	0	15.22869	15.27852	15.15514	0	0	0	0	0	0	0	0	0	0	0	0	15.19446	0	0	0	0	0	0	0	0
11.34197	10.82473	10.99652	10.97086	10.59474	10.57855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.35508	0	0	0	0	0	9.438068	10.01152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17.27377	17.2599	0	17.36382	0	17.15986	0	17.5209	17.52845	0	0	0	0	0	0	0	0	0	0	16.76874	0	0	0	0	0	0	0	0	0	0	0	0	17.53589	17.41293	0	17.31509	17.67824	0	17.63202	0	0	0	0	0	0	0	0	0
15.24839	0	0	0	15.20661	15.20375	14.99785	14.99016	14.88728	14.965	15.09706	14.82566	15.05536	12.7112	13.70813	12.83231	14.35448	0	0	0	0	0	0	0	0	0	0	0	0	0	15.08621	15.05167	15.12521	15.08688	14.9857	15.01975	15.00746	14.98166	15.02111	0	0	0	0	0	0	0	0	0
13.76668	14.84494	13.78492	14.96387	14.34075	14.88651	15.16658	15.10246	14.46775	14.60171	15.17727	14.23499	14.60664	14.87973	14.64917	0	15.23802	0	15.1573	15.06219	14.81186	0	14.55843	0	0	0	14.21495	14.18269	14.96012	15.14325	15.16158	14.96735	15.40224	15.31438	14.87644	14.62846	15.05961	15.13489	14.21256	14.44919	0	14.81083	14.66564	14.78824	15.15669	14.37584	0	14.57184
15.07603	14.88277	14.80006	14.90321	9.152606	15.10836	14.87414	14.56035	0	0	14.56436	14.11039	0	0	0	15.03083	15.10573	14.37497	14.60313	14.81196	14.21969	0	0	0	14.64796	14.49342	14.57325	14.82062	14.75117	14.50511	14.80884	14.79053	14.69435	14.7815	14.56567	0	14.5743	14.71426	14.63647	14.58724	14.82411	14.79794	14.53611	0	0	14.48505	0	0
12.0196	12.63888	12.23312	13.10784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.59991	0	0	0	0	0	13.30228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	10.02888	9.364084	9.69793	9.407317	10.16259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.835703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
