E1_1 Int (Treated)	E1_2 Int (Treated)	E1_3 Int (Treated)	E2_1 Int (Treated)	E2_2 Int (Treated)	E2_3 Int (Treated)	E3_1 Int (Treated)	E3_2 Int (Treated)	E3_3 Int (Treated)	F4_1 Int (Treated)	F4_2 Int (Treated)	F4_3 Int (Treated)	F5_1 Int (Treated)	F5_2 Int (Treated)	F5_3 Int (Treated)	F7_1 Int (Treated)	F7_2 Int (Treated)	F7_3 Int (Treated)	C3_1 Int (Treated)	C3_2 Int (Treated)	C3_3 Int (Treated)	E4_1 Int (Treated)	E4_2 Int (Treated)	E4_3 Int (Treated)	E5_1 Int (Treated)	E5_2 Int (Treated)	E5_3 Int (Treated)	E6_1 Int (Treated)	E6_2 Int (Treated)	E6_3 Int (Treated)	F1_1 Int (Treated)	F1_2 Int (Treated)	F1_3 Int (Treated)	F2_1 Int (Treated)	F2_2 Int (Treated)	F2_3 Int (Treated)	F3_1 Int (Treated)	F3_2 Int (Treated)	F3_3 Int (Treated)	F6_1 Int (Treated)	F6_2 Int (Treated)	F6_3 Int (Treated)
0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.63369	0	0	0	0	0	0	14.44077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	15.10659	0	0	0	0	0	0	0	0	0	0	14.95045	15.10262	15.54598	0	15.7035	0	0	15.27986	0	0	0	0	0	15.31856	15.52272	16.07425	16.07425	0	0	0	0	0	15.35539	0	0	0	15.15557
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.08996	0	0	15.98289	0	0	0	0	0
0	0	0	0	0	0	0	0	0	15.09671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.04105	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.63045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14.57878	15.3966	15.43621	14.40137	0	0	0	0	0	14.41896	0	0	14.24043	14.6615	0	0	14.43552	0	14.84636	14.92764	14.68254	15.13545	0	14.91485	14.98162	15.2734	14.59775	14.51406	13.9878	14.75123	0	0	0	0	0	0	15.3432	15.37799	15.15385	14.24196	14.43389	0
14.5553	0	0	13.97286	0	0	0	0	0	0	14.40553	0	0	0	0	14.51482	0	14.38049	14.32415	0	13.82003	0	0	0	14.3508	0	0	14.19611	0	0	0	14.08207	14.22549	0	0	0	14.00884	0	14.01004	0	0	0
0	0	0	0	0	0	15.11171	15.27637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.91465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13.90823	14.03256	13.97143	14.1908	15.02807	14.17404	0	0	0	13.82852	14.61461	13.45707	14.80258	14.77571	14.71066	14.86015	14.57226	14.36147	0	0	0	14.04043	14.0585	14.20245	14.12864	14.06404	14.07609	14.03031	0	14.10735	0	0	0	0	0	0	14.07117	13.97752	13.98734	0	14.83778	14.77388
